date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:09:06	736/736	---M--	200	added ('OK')	image/svg+xml	etag:%222e0-607431019360b%22	https://themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/etc.svg	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/etc.svg	(from https://themesbrand.com/velzon/html/default/dashboard-crypto.html)
09:09:07	505/505	---M--	200	added ('OK')	image/svg+xml	etag:%221f9-607431019266b%22	https://themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/bnb.svg	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/bnb.svg	(from https://themesbrand.com/velzon/html/default/dashboard-crypto.html)
09:09:07	648/648	---M--	200	added ('OK')	image/svg+xml	etag:%22288-607431019554b%22	https://themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/usdt.svg	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/usdt.svg	(from https://themesbrand.com/velzon/html/default/dashboard-crypto.html)
09:09:07	425/425	---M--	200	added ('OK')	image/svg+xml	etag:%221a9-60743101945ab%22	https://themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/neo.svg	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/neo.svg	(from https://themesbrand.com/velzon/html/default/dashboard-crypto.html)
09:09:07	738/738	---M--	200	added ('OK')	image/svg+xml	etag:%222e2-607431019266b%22	https://themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/doge.svg	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/doge.svg	(from https://themesbrand.com/velzon/html/default/dashboard-crypto.html)
09:09:08	718/718	---M--	200	added ('OK')	image/svg+xml	etag:%222ce-60743101916cb%22	https://themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/aave.svg	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/images/svg/crypto-icons/aave.svg	(from https://themesbrand.com/velzon/html/default/dashboard-crypto.html)
09:09:08	9587/9587	---M-Z	200	added ('OK')	application/javascript	etag:%222573-607431019748b-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/pages/dashboard-crypto.init.js	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/js/pages/dashboard-crypto.init.js	(from https://themesbrand.com/velzon/html/default/dashboard-crypto.html)
09:09:08	3181/3181	---M-Z	200	added ('OK')	application/javascript	etag:%22c6d-607431019748b-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/pages/dashboard-projects.init.js	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/js/pages/dashboard-projects.init.js	(from https://themesbrand.com/velzon/html/default/dashboard-projects.html)
09:09:09	6888/6888	---M--	200	added ('OK')	image/png	etag:%221ae8-6074310183c0b%22	https://themesbrand.com/velzon/html/default/assets/images/bg-d.png	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/themesbrand.com/velzon/html/default/assets/images/bg-d.png	(from https://themesbrand.com/velzon/html/default/dashboard-nft.html)
09:09:10	323671/323671	---M--	200	added ('OK')	image/gif	etag:%224f057-5e8c860a3bd00%22	https://img.themesbrand.com/velzon/images/img-2.gif	D:/dodik/project/data/dokumentasi/hrd-psycotest/hris/img.themesbrand.com/velzon/images/img-2.gif	(from https://themesbrand.com/velzon/html/default/dashboard-nft.html)
